;pollutant_id;pollutant_averaging;date;pollutant_value;pollutant_unit;station_id;X;Y;ID_estacion;method_id
5445;NO2;1;03/01/2018 1:00;32;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5446;NO2;1;03/01/2018 2:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5447;NO2;1;03/01/2018 3:00;17;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5448;NO2;1;03/01/2018 4:00;41;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5449;NO2;1;03/01/2018 5:00;40;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5450;NO2;1;03/01/2018 6:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5451;NO2;1;03/01/2018 7:00;47;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5452;NO2;1;03/01/2018 8:00;34;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5453;NO2;1;03/01/2018 9:00;26;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5454;NO2;1;03/01/2018 10:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5455;NO2;1;03/01/2018 11:00;30;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5456;NO2;1;03/01/2018 12:00;49;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5457;NO2;1;03/01/2018 13:00;36;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5458;NO2;1;03/01/2018 14:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5459;NO2;1;03/01/2018 15:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5460;NO2;1;03/01/2018 16:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5461;NO2;1;03/01/2018 17:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5462;NO2;1;03/01/2018 18:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5463;NO2;1;03/01/2018 19:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5464;NO2;1;03/01/2018 20:00;53;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5465;NO2;1;03/01/2018 21:00;43;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5466;NO2;1;03/01/2018 22:00;47;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5467;NO2;1;03/01/2018 23:00;40;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5468;NO2;1;04/01/2018 0:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5469;NO2;1;04/01/2018 1:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5470;NO2;1;04/01/2018 2:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5471;NO2;1;04/01/2018 3:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5472;NO2;1;04/01/2018 4:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
